Date;Hour;Latittude;Longitude;Depth;Magnitude;Magnitudetype;Location;
04/11/2021;18:14:02;28.5593;-17.8523;12 ;2.5;mbLg ;N FUENCALIENTE DE LA PALMA.ILP;
04/11/2021;17:18:42;28.5576;-17.8382;13 ;2.6;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;16:16:49;28.5718;-17.8173;9 ;2.8;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;16:13:30;28.5544;-17.8374;10 ;2.7;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;16:08:00;28.5532;-17.8359;13 ;3.2;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;16:02:14;28.5950;-17.8299;33 ;2.8;mbLg ;W VILLA DE MAZO.ILP;
04/11/2021;15:51:44;28.5557;-17.8440;15 ;3.4;mbLg ;N FUENCALIENTE DE LA PALMA.ILP;
04/11/2021;15:44:30;28.5581;-17.8448;12 ;3.1;mbLg ;N FUENCALIENTE DE LA PALMA.ILP;
04/11/2021;13:25:35;28.5622;-17.8371;13 ;2.8;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;12:40:15;28.5839;-17.8425;37 ;3.3;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;12:37:15;28.5643;-17.8238;13 ;3.1;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;12:27:06;28.5716;-17.8235;11 ;2.9;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;10:35:03;28.5457;-17.8362;13 ;2.9;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;10:09:03;28.5638;-17.8330;12 ;2.7;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;10:01:04;28.5612;-17.8235;14 ;2.7;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;09:53:15;28.5578;-17.8383;12 ;2.6;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;09:14:45;28.5647;-17.8401;11 ;2.3;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;06:30:41;28.5554;-17.8451;15 ;3.5;mbLg ;N FUENCALIENTE DE LA PALMA.ILP;
04/11/2021;06:20:58;28.5530;-17.8268;14 ;3.1;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;06:05:30;28.5797;-17.8518;35 ;2.7;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;05:57:57;28.5512;-17.8382;14 ;3.4;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;05:40:36;28.5640;-17.8299;12 ;3.0;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;05:40:09;28.5640;-17.8383;14 ;2.8;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;05:19:17;28.5628;-17.8247;13 ;3.4;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;05:09:19;28.5597;-17.8399;12 ;3.3;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;05:01:41;28.5544;-17.8462;28 ;3.0;mbLg ;N FUENCALIENTE DE LA PALMA.ILP;
04/11/2021;04:50:03;28.5611;-17.8419;11 ;2.5;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;04:49:00;28.5503;-17.8372;14 ;2.5;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;04:42:50;28.5590;-17.8333;13 ;3.0;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;04:38:08;28.5632;-17.8315;10 ;2.7;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;04:15:25;28.5684;-17.8402;11 ;2.8;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;04:12:59;28.5605;-17.8446;13 ;3.0;mbLg ;N FUENCALIENTE DE LA PALMA.ILP;
04/11/2021;03:46:44;28.5659;-17.8344;10 ;3.2;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;03:42:54;28.5615;-17.8393;13 ;3.2;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;03:40:00;28.5521;-17.8395;12 ;3.1;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;03:25:43;28.5650;-17.8173;13 ;2.8;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;03:17:34;28.5584;-17.8322;9 ;2.4;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;03:11:47;28.5623;-17.8361;12 ;3.4;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;03:06:02;28.5580;-17.8263;11 ;3.4;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;03:04:38;28.5585;-17.8348;10 ;2.6;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;02:56:14;28.5601;-17.8352;10 ;2.9;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;02:53:12;28.5637;-17.8275;11 ;2.8;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;02:52:05;28.5579;-17.8439;11 ;3.6;mbLg ;N FUENCALIENTE DE LA PALMA.ILP;
04/11/2021;02:41:49;28.5621;-17.8281;11 ;2.9;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;02:40:46;28.5666;-17.8359;11 ;3.0;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;02:39:21;28.5710;-17.8363;13 ;3.5;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;02:37:43;28.5667;-17.8248;11 ;2.6;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;02:32:48;28.5576;-17.8224;11 ;3.0;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;02:14:10;28.5722;-17.8169;14 ;2.9;mbLg ;SW VILLA DE MAZO.ILP;
04/11/2021;02:11:24;28.5602;-17.8393;9 ;3.6;mbLg ;NE FUENCALIENTE DE LA PALMA.IL;
04/11/2021;02:02:20;28.5862;-17.8390;10 ;2.5;mbLg ;SW VILLA DE MAZO.ILP;
